Pressure,Altitude,Temperature,Dew_point,Wind_direction,Wind_speed,WMO_ID,n,m
903.1,1019,19.9,14,301,3.1,11747,79,9
901.9,1030,20.1,13.8,303,3.1,11747,80,0
900.7,1041,20.1,14,304,2.9,11747,81,1
899.5,1053,20.1,13.8,304,2.7,11747,82,2
898.2,1065,20,13.4,303,2.5,11747,83,3
897,1077,20,13.3,301,2.1,11747,84,4
895.8,1088,20,13.1,296,1.9,11747,85,5
894.7,1099,19.9,13.1,289,1.6,11747,86,6
893.6,1110,19.9,13,275,1.4,11747,87,7
892.5,1121,19.8,13.1,255,1.2,11747,88,8
891.3,1132,19.7,13.2,232,1.2,11747,89,9
890.2,1143,19.6,13.3,215,1.6,11747,90,0
889,1154,19.5,13.2,204,1.7,11747,91,1
887.9,1165,19.4,13.1,198,2.1,11747,92,2
886.7,1177,19.3,13.1,195,2.7,11747,93,3
885.6,1188,19.2,13.1,193,3.1,11747,94,4
884.5,1198,19,13.5,194,3.5,11747,95,5
883.3,1209,18.9,13.6,195,3.9,11747,96,6
882.7,1215,18.9,13.6,196,4.3,11747,97,7
882.2,1220,18.8,13.6,196,4.3,11747,98,8
881.1,1231,18.7,13.6,198,4.7,11747,99,9
879.9,1243,18.7,13.6,200,4.9,11747,100,0
878.7,1255,18.5,13.6,202,5.2,11747,101,1
877.5,1267,18.4,13.4,204,5.6,11747,102,2
876.2,1279,18.3,13.8,206,5.8,11747,103,3
875,1291,18.3,13.7,208,6.2,11747,104,4
873.8,1303,18.3,13.6,208,6.4,11747,105,5
872.6,1314,18.2,13.6,209,6.8,11747,106,6
871.4,1326,18.1,13.6,209,7,11747,107,7
870.3,1338,18,13.6,209,7.2,11747,108,8
869,1350,17.9,13.6,208,7.2,11747,109,9
867.8,1362,17.8,13.6,207,7.4,11747,110,0
866.5,1374,17.7,13.5,206,7.4,11747,111,1
865.3,1387,17.6,13.4,205,7.6,11747,112,2
864.1,1399,17.5,13.3,204,7.6,11747,113,3
862.8,1411,17.4,13.1,203,7.6,11747,114,4
861.6,1423,17.4,13.2,202,7.6,11747,115,5
860.5,1435,17.3,13.2,201,7.8,11747,116,6
859.3,1446,17.2,13,201,7.8,11747,117,7
858.1,1458,17.1,12.9,201,7.8,11747,118,8
857,1469,17,13,202,7.8,11747,119,9
855.9,1480,16.9,12.9,202,7.8,11747,120,0
854.8,1491,16.8,12.8,203,7.8,11747,121,1
853.7,1502,16.7,12.8,204,8,11747,122,2
852.6,1513,16.6,12.7,205,8,11747,123,3
851.5,1524,16.5,12.7,206,8.2,11747,124,4
850.5,1534,16.4,12.7,206,8.2,11747,125,5
850,1539,16.4,12.7,207,8.4,11747,126,6
849.4,1545,16.4,12.7,207,8.4,11747,127,7
848.3,1556,16.3,12.6,208,8.4,11747,128,8
847.2,1567,16.2,12.6,208,8.6,11747,129,9
846.1,1578,16.1,12.4,208,8.6,11747,130,0
844.9,1590,16.1,12.2,209,8.7,11747,131,1
843.7,1602,16,12.1,209,8.7,11747,132,2
842.5,1615,15.9,12.1,209,8.7,11747,133,3
841.3,1627,15.8,12,209,8.7,11747,134,4
840,1640,15.8,11.8,209,8.7,11747,135,5
838.8,1652,15.7,11.5,209,8.7,11747,136,6
837.5,1665,15.6,11.4,209,8.7,11747,137,7
836.2,1678,15.5,11.4,209,8.6,11747,138,8
834.9,1691,15.5,11.3,209,8.7,11747,139,9
833.6,1705,15.4,11.2,209,8.7,11747,140,0
832.4,1718,15.3,11.2,209,8.7,11747,141,1
831.1,1731,15.1,11.1,209,8.9,11747,142,2
829.8,1744,15.1,11,209,9.1,11747,143,3
828.5,1757,15,11,209,9.5,11747,144,4
827.3,1770,14.8,10.8,210,9.9,11747,145,5
826,1782,14.7,10.7,210,10.3,11747,146,6
824.8,1795,14.6,10.5,211,10.7,11747,147,7
823.6,1808,14.7,10.3,211,11.1,11747,148,8
822.4,1820,14.7,10.1,212,11.5,11747,149,9
821.2,1832,14.6,10.1,213,12.1,11747,150,0
819.9,1845,14.5,10.1,213,12.4,11747,151,1
818.7,1858,14.4,9.9,214,12.8,11747,152,2
817.4,1872,14.3,9.7,215,13.4,11747,153,3
816,1886,14.2,9.7,215,13.8,11747,154,4
814.6,1900,14.1,9.6,216,14.2,11747,155,5
813.2,1915,14,9.4,217,14.8,11747,156,6
811.9,1928,13.9,9.2,217,15.2,11747,157,7
810.7,1941,13.8,9.3,218,15.7,11747,158,8
809.4,1954,13.7,9.3,218,16.3,11747,159,9
808.2,1967,13.6,9.2,218,16.7,11747,160,0
806.9,1981,13.5,9.1,218,17.5,11747,161,1
805.6,1994,13.4,9,218,18.1,11747,162,2
804.4,2007,13.4,8.7,218,18.7,11747,163,3
803.2,2020,13.4,8.3,217,19.4,11747,164,4
802,2032,13.5,8,217,20.2,11747,165,5
800.7,2045,13.4,7.7,216,21,11747,166,6
800,2053,13.4,7.4,215,21.8,11747,167,7
799.4,2059,13.4,7.2,215,21.8,11747,168,8
798.2,2072,13.4,6.9,214,22.5,11747,169,9
796.9,2086,13.4,6.6,214,23.3,11747,170,0
795.7,2099,13.4,6.3,213,24.1,11747,171,1
794.5,2111,13.5,5.2,213,24.9,11747,172,2
793.3,2124,13.7,3.9,212,25.5,11747,173,3
792.1,2136,13.9,2.8,212,26.2,11747,174,4
791,2148,13.9,2.2,211,26.8,11747,175,5
789.8,2161,13.9,1.4,211,27.4,11747,176,6
788.7,2173,14,0.7,211,28,11747,177,7
787.6,2185,14,0.5,211,28.4,11747,178,8
786.5,2197,14,0.1,211,28.8,11747,179,9
785.3,2209,14,-0.6,212,29.2,11747,180,0
784.1,2222,13.9,-0.9,212,29.4,11747,181,1
782.9,2235,13.9,-1.2,212,29.5,11747,182,2
781.7,2247,13.8,-1.2,212,29.7,11747,183,3
780.6,2260,13.7,-1.4,212,29.7,11747,184,4
779.4,2273,13.6,-1.4,212,29.9,11747,185,5
778.2,2286,13.5,-1.5,213,29.9,11747,186,6
777,2298,13.4,-1.5,213,29.9,11747,187,7
775.9,2311,13.2,-1.6,213,30.1,11747,188,8
774.8,2323,13.1,-1.6,213,30.1,11747,189,9
773.7,2335,13,-1.6,213,30.3,11747,190,0
772.6,2346,12.9,-1.7,213,30.5,11747,191,1
771.6,2357,12.8,-1.8,213,30.7,11747,192,2
770.6,2368,12.7,-1.8,213,30.9,11747,193,3
769.5,2380,12.6,-2,213,31.1,11747,194,4
768.5,2391,12.5,-2.2,213,31.5,11747,195,5
767.4,2403,12.4,-2.5,213,31.7,11747,196,6
766.3,2416,12.4,-3.4,213,32.1,11747,197,7
765.1,2428,12.5,-4.2,213,32.3,11747,198,8
764,2441,12.5,-4.7,213,32.5,11747,199,9
762.8,2453,12.5,-4.8,213,32.9,11747,200,0
761.7,2466,12.4,-4.9,213,33,11747,201,1
760.5,2478,12.4,-5,213,33,11747,202,2
759.4,2491,12.3,-5,213,33.2,11747,203,3
758.3,2503,12.2,-5.1,213,33.2,11747,204,4
757.2,2515,12.1,-5.3,214,33.2,11747,205,5
756.1,2527,12,-5.5,214,33,11747,206,6
755,2540,11.9,-5.6,214,33,11747,207,7
753.8,2552,11.7,-5.7,214,32.9,11747,208,8
752.7,2565,11.6,-5.8,215,32.9,11747,209,9
751.5,2578,11.5,-5.9,215,32.7,11747,210,0
750.3,2591,11.4,-6,215,32.7,11747,211,1
749.2,2604,11.3,-6.1,215,32.7,11747,212,2
748,2617,11.2,-5.9,215,32.7,11747,213,3
746.9,2630,11,-5.7,214,32.7,11747,214,4
745.8,2642,10.9,-5.6,214,32.9,11747,215,5
744.7,2655,10.8,-5.5,214,32.9,11747,216,6
743.5,2667,10.7,-5.6,214,33,11747,217,7
742.4,2680,10.6,-5.8,213,33.4,11747,218,8
741.2,2693,10.5,-5.9,213,33.6,11747,219,9
740.1,2705,10.4,-6,213,33.8,11747,220,0
739,2718,10.2,-6,213,33.8,11747,221,1
737.9,2730,10.1,-6,213,34,11747,222,2
736.8,2743,10,-6,213,34,11747,223,3
735.7,2755,9.9,-6.1,213,34,11747,224,4
734.6,2768,9.8,-6.2,214,34,11747,225,5
733.5,2780,9.7,-6.2,214,33.8,11747,226,6
732.3,2793,9.6,-6.3,214,33.6,11747,227,7
731.2,2806,9.4,-6.4,215,33.4,11747,228,8
730.1,2819,9.3,-6.6,215,33,11747,229,9
728.9,2832,9.2,-6.6,215,32.9,11747,230,0
727.8,2845,9.1,-6.8,215,32.5,11747,231,1
726.7,2857,9.1,-8.1,216,32.3,11747,232,2
725.6,2869,9,-9.2,216,32.1,11747,233,3
724.6,2881,9,-10.3,216,31.7,11747,234,4
723.5,2894,8.9,-9.5,216,31.5,11747,235,5
722.4,2906,8.8,-10.4,216,31.3,11747,236,6
721.3,2919,8.7,-11.5,216,30.9,11747,237,7
720.1,2932,8.6,-11.2,216,30.7,11747,238,8
718.9,2946,8.5,-11.6,216,30.3,11747,239,9
717.7,2960,8.4,-11.7,216,29.9,11747,240,0
716.5,2974,8.2,-11.5,216,29.5,11747,241,1
715.3,2988,8.1,-11.5,216,29.2,11747,242,2
714.1,3001,8,-11.4,216,28.8,11747,243,3
713,3015,7.8,-11.7,217,28.4,11747,244,4
711.8,3028,7.8,-13.2,217,27.8,11747,245,5
710.6,3042,7.7,-15.3,217,27.4,11747,246,6
709.5,3055,7.7,-16.5,217,27,11747,247,7
708.4,3068,7.6,-17.1,217,26.6,11747,248,8
707.3,3081,7.5,-17.9,217,26.4,11747,249,9
706.2,3093,7.5,-20.5,217,26.2,11747,250,0
705.1,3106,7.5,-21.6,217,26,11747,251,1
703.9,3119,7.4,-21.4,216,26,11747,252,2
702.8,3133,7.3,-20.7,216,26,11747,253,3
701.6,3147,7.1,-19,216,26.2,11747,254,4
700.5,3160,7,-18.9,215,26.6,11747,255,5
700,3166,7,-19,215,26.8,11747,256,6
699.3,3173,6.9,-19.1,215,26.8,11747,257,7
698.2,3187,6.8,-19.7,215,27.4,11747,258,8
697.1,3200,6.8,-20.3,215,27.8,11747,259,9
695.9,3214,6.8,-21.3,215,28.4,11747,260,0
694.7,3228,6.8,-21.9,216,29.2,11747,261,1
693.5,3242,6.8,-22.3,216,29.7,11747,262,2
692.4,3255,6.8,-22.9,217,30.5,11747,263,3
691.3,3268,6.7,-23.1,217,31.1,11747,264,4
690.2,3282,6.6,-23.2,218,31.7,11747,265,5
689,3295,6.5,-23.3,219,32.5,11747,266,6
687.9,3308,6.5,-23.4,219,33,11747,267,7
686.8,3321,6.4,-23.6,220,33.6,11747,268,8
685.8,3334,6.4,-23.6,221,34.2,11747,269,9
684.7,3347,6.3,-23.7,222,34.8,11747,270,0
683.6,3360,6.2,-23.8,223,35.2,11747,271,1
682.5,3373,6.1,-24.1,223,35.8,11747,272,2
681.5,3386,6.1,-24.2,224,36.2,11747,273,3
680.4,3399,6.1,-24.4,225,36.7,11747,274,4
679.2,3412,6.1,-25.1,226,37.1,11747,275,5
678.1,3426,6.1,-25.6,226,37.5,11747,276,6
676.9,3440,6.1,-25.7,227,38.1,11747,277,7
675.9,3453,6,-25.9,227,38.5,11747,278,8
674.8,3466,5.9,-25.9,228,38.9,11747,279,9
673.7,3479,5.8,-26.1,228,39.5,11747,280,0
672.7,3492,5.7,-26.2,228,39.8,11747,281,1
671.6,3505,5.5,-26.4,229,40.4,11747,282,2
670.5,3518,5.4,-26.1,229,40.8,11747,283,3
669.4,3531,5.3,-25.8,229,41.4,11747,284,4
668.3,3544,5.2,-24.7,229,41.8,11747,285,5
667.3,3558,5.2,-21.7,229,42.4,11747,286,6
666.2,3571,5.1,-19.1,230,42.8,11747,287,7
665.1,3585,5,-19.1,230,43.3,11747,288,8
664,3598,4.8,-18.8,230,43.9,11747,289,9
662.9,3611,4.7,-18.9,230,44.3,11747,290,0
661.8,3624,4.6,-18.8,230,44.9,11747,291,1
660.7,3638,4.5,-18.1,230,45.3,11747,292,2
659.7,3651,4.3,-15.4,230,45.7,11747,293,3
658.6,3664,4.2,-12.8,230,46.1,11747,294,4
657.5,3677,4,-11.4,229,46.3,11747,295,5
656.4,3691,3.9,-10.9,229,46.7,11747,296,6
655.2,3705,3.7,-10.1,229,46.8,11747,297,7
654.1,3720,3.6,-9.3,229,47,11747,298,8
653,3734,3.4,-6.6,228,47,11747,299,9
651.9,3747,3.2,-6.1,228,47.2,11747,300,0
650.9,3760,3.1,-5.2,228,47.2,11747,301,1
649.8,3773,2.9,-4.8,228,47.2,11747,302,2
648.8,3786,2.8,-4.7,228,47.2,11747,303,3
647.7,3799,2.6,-4.7,227,47.2,11747,304,4
646.6,3813,2.5,-4.9,227,47,11747,305,5
645.6,3826,2.4,-5.7,227,47,11747,306,6
644.5,3839,2.4,-7.7,227,46.8,11747,307,7
643.5,3852,2.3,-8.8,227,46.8,11747,308,8
642.4,3866,2.3,-9.6,227,46.7,11747,309,9
641.3,3879,2.1,-9.5,226,46.5,11747,310,0
640.3,3893,2,-9.3,226,46.3,11747,311,1
639.2,3906,1.9,-9.4,226,46.1,11747,312,2
638.2,3919,1.8,-9.6,226,45.9,11747,313,3
637.2,3932,1.7,-10.1,226,45.5,11747,314,4
636.1,3945,1.6,-11.5,226,45.3,11747,315,5
635.1,3958,1.5,-12.1,226,45.1,11747,316,6
634,3971,1.4,-12.1,226,44.9,11747,317,7
633,3984,1.3,-12.9,226,44.9,11747,318,8
632,3997,1.2,-14,227,44.7,11747,319,9
631,4010,1.1,-14,227,44.7,11747,320,0
630.1,4022,1,-14.1,227,44.5,11747,321,1
629.1,4034,0.9,-14.5,227,44.5,11747,322,2
628.2,4046,0.8,-15.1,228,44.5,11747,323,3
627.2,4059,0.7,-15.8,228,44.3,11747,324,4
626.2,4071,0.6,-16.2,228,44.3,11747,325,5
625.1,4085,0.5,-17.2,229,44.3,11747,326,6
624.1,4098,0.4,-18.6,229,44.1,11747,327,7
623,4112,0.3,-19,229,44.1,11747,328,8
622,4126,0.2,-20.2,229,43.9,11747,329,9
620.9,4139,0.1,-22.5,229,43.9,11747,330,0
620,4152,0.1,-22.4,229,43.7,11747,331,1
619,4164,-0.1,-22.4,229,43.5,11747,332,2
618,4177,-0.2,-22.6,229,43.5,11747,333,3
617,4190,-0.3,-23.2,229,43.3,11747,334,4
616,4203,-0.4,-24.2,229,43.2,11747,335,5
615,4216,-0.5,-25.4,229,43,11747,336,6
614,4228,-0.6,-26,229,42.8,11747,337,7
613.2,4239,-0.7,-25.7,230,42.4,11747,338,8
612.3,4250,-0.8,-26.1,230,42.2,11747,339,9
611.4,4262,-0.9,-27.8,230,42,11747,340,0
610.5,4275,-0.9,-28.9,230,41.6,11747,341,1
609.5,4288,-1,-29.3,231,41.4,11747,342,2
608.5,4301,-1.1,-29.6,231,41,11747,343,3
607.4,4314,-1.2,-30.1,231,40.8,11747,344,4
606.4,4328,-1.4,-30.4,231,40.6,11747,345,5
605.4,4341,-1.5,-30.4,231,40.2,11747,346,6
604.3,4355,-1.6,-30.6,231,40,11747,347,7
603.2,4370,-1.7,-30.6,231,39.8,11747,348,8
602.2,4384,-1.9,-29.9,231,39.7,11747,349,9
601.1,4398,-2,-28.9,231,39.5,11747,350,0
600,4412,-2.1,-29.1,231,39.5,11747,351,1
599,4426,-2.2,-29.1,230,39.3,11747,352,2
598,4439,-2.3,-29.1,230,39.1,11747,353,3
597,4452,-2.4,-29.2,230,39.1,11747,354,4
596,4466,-2.5,-29.3,230,38.9,11747,355,5
594.9,4480,-2.6,-29.7,229,38.9,11747,356,6
593.8,4495,-2.7,-30.1,229,38.9,11747,357,7
592.6,4511,-2.8,-30.4,229,38.9,11747,358,8
591.5,4526,-2.9,-30.6,229,39.1,11747,359,9
590.4,4540,-2.9,-30.7,229,39.1,11747,360,0
589.4,4553,-3,-30.9,229,39.3,11747,361,1
588.5,4566,-3.1,-31.3,229,39.5,11747,362,2
587.5,4579,-3.1,-31.8,229,39.7,11747,363,3
586.5,4593,-3.2,-31.7,229,39.8,11747,364,4
585.5,4607,-3.4,-31.5,229,39.8,11747,365,5
584.4,4621,-3.5,-31.5,229,40,11747,366,6
583.4,4635,-3.6,-31.5,229,40,11747,367,7
582.3,4649,-3.7,-31.5,229,40,11747,368,8
581.4,4662,-3.8,-31.5,229,40,11747,369,9
580.4,4675,-3.9,-31.6,229,40,11747,370,0
579.5,4688,-4,-32.2,228,39.8,11747,371,1
578.5,4700,-4.1,-32.9,228,39.7,11747,372,2
577.6,4713,-4.2,-33.4,227,39.5,11747,373,3
576.7,4726,-4.3,-33.8,226,39.3,11747,374,4
575.8,4738,-4.4,-34.2,226,39.1,11747,375,5
574.9,4750,-4.4,-35.1,225,38.9,11747,376,6
574,4762,-4.4,-36.2,225,38.7,11747,377,7
573.2,4774,-4.4,-37.3,224,38.7,11747,378,8
572.3,4786,-4.4,-38.8,223,38.5,11747,379,9
571.4,4798,-4.4,-39.8,223,38.5,11747,380,0
570.4,4811,-4.5,-39.8,223,38.5,11747,381,1
569.5,4824,-4.6,-39.7,222,38.5,11747,382,2
568.6,4837,-4.6,-39.3,222,38.5,11747,383,3
567.6,4850,-4.7,-38.9,222,38.7,11747,384,4
566.7,4863,-4.7,-39.1,221,38.9,11747,385,5
565.7,4876,-4.8,-39.4,221,38.9,11747,386,6
564.8,4890,-4.9,-39.9,221,39.1,11747,387,7
563.8,4903,-4.9,-40.2,221,39.3,11747,388,8
562.9,4916,-5,-40.5,220,39.5,11747,389,9
561.9,4930,-5.1,-41,220,39.8,11747,390,0
560.9,4943,-5.1,-41.8,220,40,11747,391,1
560,4957,-5,-42.1,220,40,11747,392,2
559,4970,-5.1,-42.3,219,40.2,11747,393,3
558.1,4983,-5.2,-42.6,219,40.4,11747,394,4
557.1,4996,-5.3,-42.8,219,40.6,11747,395,5
556.2,5010,-5.3,-43.2,219,40.8,11747,396,6
555.2,5023,-5.4,-43.9,219,41,11747,397,7
554.3,5037,-5.4,-44.6,219,41.2,11747,398,8
553.4,5050,-5.5,-45,219,41.4,11747,399,9
552.5,5062,-5.5,-45,218,41.6,11747,400,0
551.6,5075,-5.5,-45.1,218,41.8,11747,401,1
550.8,5086,-5.6,-45.1,218,42,11747,402,2
550,5097,-5.6,-45,218,42.4,11747,403,3
549.2,5108,-5.6,-44.9,218,42.8,11747,404,4
548.4,5120,-5.7,-45,218,43.2,11747,405,5
547.5,5133,-5.8,-44.9,218,43.5,11747,406,6
546.7,5145,-5.8,-44.7,218,44.1,11747,407,7
545.8,5158,-5.9,-44.6,218,44.5,11747,408,8
544.8,5172,-6,-44.5,218,45.1,11747,409,9
543.9,5185,-6.2,-44.7,217,45.5,11747,410,0
542.9,5199,-6.3,-44.9,217,46.1,11747,411,1
542,5213,-6.4,-44.9,217,46.5,11747,412,2
541,5226,-6.5,-44.4,217,46.8,11747,413,3
540.2,5239,-6.5,-42.8,217,47.2,11747,414,4
539.3,5251,-6.6,-40.9,216,47.6,11747,415,5
538.5,5262,-6.6,-40.2,216,47.8,11747,416,6
537.8,5273,-6.7,-39.6,216,48,11747,417,7
537,5285,-6.8,-38,216,48,11747,418,8
536.1,5297,-7,-36.3,216,48,11747,419,9
535.3,5310,-7.1,-34.3,216,48,11747,420,0
534.4,5322,-7.1,-32.7,216,47.8,11747,421,1
533.5,5336,-7.3,-32,216,47.6,11747,422,2
532.6,5349,-7.5,-31.7,216,47.2,11747,423,3
531.6,5363,-7.6,-31.6,216,47,11747,424,4
530.7,5376,-7.7,-31.5,216,46.7,11747,425,5
529.8,5390,-7.8,-31.6,216,46.5,11747,426,6
528.9,5402,-7.9,-31.6,216,46.1,11747,427,7
528.1,5415,-8.1,-31.6,216,45.9,11747,428,8
527.2,5428,-8.2,-31.5,217,45.7,11747,429,9
526.3,5441,-8.3,-31.3,217,45.5,11747,430,0
525.5,5454,-8.5,-31.3,217,45.3,11747,431,1
524.6,5466,-8.6,-31.3,217,45.1,11747,432,2
523.7,5479,-8.7,-31.3,218,44.9,11747,433,3
522.9,5492,-8.8,-31.3,218,44.9,11747,434,4
522,5504,-8.9,-31.3,218,44.9,11747,435,5
521.2,5517,-9.1,-31.4,218,44.9,11747,436,6
520.3,5530,-9.2,-31.4,218,44.9,11747,437,7
519.4,5543,-9.3,-31.3,218,44.9,11747,438,8
518.6,5555,-9.4,-31.4,218,45.1,11747,439,9
517.7,5568,-9.6,-31.4,218,45.3,11747,440,0
516.9,5581,-9.7,-31.5,218,45.3,11747,441,1
516,5594,-9.8,-31.5,217,45.5,11747,442,2
515.1,5608,-9.9,-31.6,217,45.7,11747,443,3
514.1,5622,-10.1,-31.5,217,45.9,11747,444,4
513.2,5636,-10.2,-31.5,216,46.1,11747,445,5
512.3,5650,-10.3,-31.5,216,46.1,11747,446,6
511.4,5663,-10.5,-31.6,216,46.3,11747,447,7
510.5,5676,-10.7,-31.7,216,46.3,11747,448,8
509.7,5688,-10.8,-31.6,215,46.3,11747,449,9
508.9,5700,-10.8,-31.7,215,46.3,11747,450,0
508.1,5712,-11,-31.7,215,46.3,11747,451,1
507.3,5724,-11.1,-31.8,216,46.3,11747,452,2
506.5,5736,-11.2,-31.8,216,46.1,11747,453,3
505.7,5748,-11.3,-31.8,216,45.9,11747,454,4
504.9,5760,-11.4,-31.9,216,45.7,11747,455,5
504.1,5773,-11.5,-32,217,45.5,11747,456,6
503.3,5785,-11.7,-32,217,45.3,11747,457,7
502.5,5798,-11.8,-32,217,45.1,11747,458,8
501.6,5811,-11.9,-32.1,217,44.9,11747,459,9
500.8,5824,-12,-32.1,218,44.5,11747,460,0
500,5836,-12.1,-32.1,218,44.5,11747,461,1
499.9,5837,-12.2,-32.1,218,44.5,11747,462,2
499.1,5850,-12.3,-32,218,44.3,11747,463,3
498.3,5862,-12.4,-32,218,44.1,11747,464,4
497.5,5874,-12.5,-32,218,44.1,11747,465,5
496.7,5886,-12.6,-31.9,218,44.1,11747,466,6
495.9,5898,-12.7,-31.8,218,44.1,11747,467,7
495.2,5910,-12.8,-31.7,218,44.1,11747,468,8
494.3,5923,-12.9,-31.7,218,44.3,11747,469,9
493.5,5935,-13.1,-31.7,218,44.3,11747,470,0
492.7,5948,-13.2,-31.5,218,44.5,11747,471,1
491.8,5961,-13.3,-31.3,217,44.5,11747,472,2
491,5975,-13.4,-31,217,44.7,11747,473,3
490.1,5988,-13.6,-30.9,217,44.7,11747,474,4
489.3,6001,-13.7,-30.9,217,44.7,11747,475,5
488.5,6013,-13.8,-31,217,44.7,11747,476,6
487.7,6025,-13.9,-30.9,217,44.5,11747,477,7
487,6037,-14,-30.8,216,44.5,11747,478,8
486.3,6048,-14.1,-30.8,216,44.3,11747,479,9
485.5,6059,-14.3,-30.6,216,44.1,11747,480,0
484.8,6070,-14.4,-30.6,216,43.9,11747,481,1
484.1,6082,-14.5,-30.5,215,43.7,11747,482,2
483.2,6095,-14.6,-30.4,215,43.5,11747,483,3
482.4,6108,-14.7,-30.9,215,43.2,11747,484,4
481.5,6122,-14.7,-31.9,214,43,11747,485,5
480.7,6135,-14.8,-32.9,214,42.8,11747,486,6
479.9,6148,-14.9,-33.5,214,42.4,11747,487,7
479,6162,-14.9,-34.1,214,42.2,11747,488,8
478.1,6175,-15,-34.6,214,41.8,11747,489,9
477.3,6188,-15.1,-34.6,214,41.4,11747,490,0
476.5,6200,-15.2,-34.7,214,41.2,11747,491,1
475.8,6212,-15.3,-34.8,214,40.8,11747,492,2
475.1,6223,-15.4,-35.2,214,40.6,11747,493,3
474.4,6235,-15.4,-35.9,214,40.2,11747,494,4
473.7,6246,-15.4,-37.4,213,40,11747,495,5
473,6258,-15.3,-39.4,213,39.8,11747,496,6
