Pressure,Altitude,Temperature,Dew_point,Wind_direction,Wind_speed,WMO_ID,n,m
739,2718,10.2,-6,213,33.8,11747,45,0
733.5,2780,9.7,-6.2,214,33.8,11747,46,1
727.8,2845,9.1,-6.8,215,32.5,11747,47,2
722.4,2906,8.8,-10.4,216,31.3,11747,48,3
716.5,2974,8.2,-11.5,216,29.5,11747,49,4
710.6,3042,7.7,-15.3,217,27.4,11747,50,0
705.1,3106,7.5,-21.6,217,26,11747,51,1
700,3166,7,-19,215,26.8,11747,52,2
694.7,3228,6.8,-21.9,216,29.2,11747,53,3
689,3295,6.5,-23.3,219,32.5,11747,54,4
683.6,3360,6.2,-23.8,223,35.2,11747,55,0
678.1,3426,6.1,-25.6,226,37.5,11747,56,1
672.7,3492,5.7,-26.2,228,39.8,11747,57,2
667.3,3558,5.2,-21.7,229,42.4,11747,58,3
661.8,3624,4.6,-18.8,230,44.9,11747,59,4
656.4,3691,3.9,-10.9,229,46.7,11747,60,0
650.9,3760,3.1,-5.2,228,47.2,11747,61,1
645.6,3826,2.4,-5.7,227,47,11747,62,2
640.3,3893,2,-9.3,226,46.3,11747,63,3
635.1,3958,1.5,-12.1,226,45.1,11747,64,4
630.1,4022,1,-14.1,227,44.5,11747,65,0
625.1,4085,0.5,-17.2,229,44.3,11747,66,1
620,4152,0.1,-22.4,229,43.7,11747,67,2
615,4216,-0.5,-25.4,229,43,11747,68,3
610.5,4275,-0.9,-28.9,230,41.6,11747,69,4
605.4,4341,-1.5,-30.4,231,40.2,11747,70,0
600,4412,-2.1,-29.1,231,39.5,11747,71,1
594.9,4480,-2.6,-29.7,229,38.9,11747,72,2
589.4,4553,-3,-30.9,229,39.3,11747,73,3
584.4,4621,-3.5,-31.5,229,40,11747,74,4
579.5,4688,-4,-32.2,228,39.8,11747,75,0
574.9,4750,-4.4,-35.1,225,38.9,11747,76,1
570.4,4811,-4.5,-39.8,223,38.5,11747,77,2
565.7,4876,-4.8,-39.4,221,38.9,11747,78,3
560.9,4943,-5.1,-41.8,220,40,11747,79,4
556.2,5010,-5.3,-43.2,219,40.8,11747,80,0
551.6,5075,-5.5,-45.1,218,41.8,11747,81,1
547.5,5133,-5.8,-44.9,218,43.5,11747,82,2
542.9,5199,-6.3,-44.9,217,46.1,11747,83,3
538.5,5262,-6.6,-40.2,216,47.8,11747,84,4
534.4,5322,-7.1,-32.7,216,47.8,11747,85,0
529.8,5390,-7.8,-31.6,216,46.5,11747,86,1
525.5,5454,-8.5,-31.3,217,45.3,11747,87,2
521.2,5517,-9.1,-31.4,218,44.9,11747,88,3
516.9,5581,-9.7,-31.5,218,45.3,11747,89,4
512.3,5650,-10.3,-31.5,216,46.1,11747,90,0
508.1,5712,-11,-31.7,215,46.3,11747,91,1
504.1,5773,-11.5,-32,217,45.5,11747,92,2
500,5836,-12.1,-32.1,218,44.5,11747,93,3
496.7,5886,-12.6,-31.9,218,44.1,11747,94,4
492.7,5948,-13.2,-31.5,218,44.5,11747,95,0
488.5,6013,-13.8,-31,217,44.7,11747,96,1
484.8,6070,-14.4,-30.6,216,43.9,11747,97,2
480.7,6135,-14.8,-32.9,214,42.8,11747,98,3
476.5,6200,-15.2,-34.7,214,41.2,11747,99,4
473,6258,-15.3,-39.4,213,39.8,11747,100,0
469,6320,-15.4,-38.5,213,39.3,11747,101,1
465.1,6383,-15.9,-38.4,214,38.9,11747,102,2
461.2,6448,-16.4,-38.7,215,38.5,11747,103,3
457.3,6511,-17,-39.8,216,38.3,11747,104,4
453.5,6574,-17.4,-39.5,216,38.5,11747,105,0
449.3,6643,-18,-39.7,215,38.7,11747,106,1
445.5,6706,-18.4,-39.8,213,38.7,11747,107,2
442.3,6760,-19,-39.9,214,37.9,11747,108,3
438.5,6824,-19.3,-40.6,216,36.9,11747,109,4
435.3,6879,-19.8,-40.4,218,37.3,11747,110,0
431.4,6945,-20.3,-40.7,218,38.9,11747,111,1
427.5,7012,-20.7,-41.8,216,40.6,11747,112,2
424.1,7072,-21.1,-41.2,214,41.4,11747,113,3
420.6,7134,-21.5,-41.8,215,41.6,11747,114,4
417.3,7191,-22,-41.9,217,42,11747,115,0
413.6,7256,-22.7,-42.3,218,42.2,11747,116,1
409.4,7330,-23.4,-42.5,216,41.8,11747,117,2
405.5,7400,-24,-42.5,216,41.4,11747,118,3
401.8,7467,-24.6,-43,216,40.4,11747,119,4
399.2,7515,-25.1,-43.3,216,39.5,11747,120,0
395.5,7583,-25.7,-43.8,215,38.7,11747,121,1
391.9,7649,-26.3,-44,214,38.3,11747,122,2
388.7,7707,-26.7,-44.5,215,38.5,11747,123,3
385,7776,-27.2,-46.7,218,39.1,11747,124,4
381.4,7844,-27.7,-46.5,219,39.7,11747,125,0
378,7908,-28.3,-45.9,219,39.8,11747,126,1
374.6,7973,-28.9,-46.2,218,40,11747,127,2
371.5,8033,-29.5,-45.5,218,40.4,11747,128,3
368.2,8095,-30,-46.7,220,40.6,11747,129,4
364.7,8164,-30.5,-46.4,220,40.8,11747,130,0
360.8,8239,-31.2,-46.8,221,41,11747,131,1
357.5,8305,-31.7,-47.2,223,40.8,11747,132,2
354.6,8362,-32.3,-47.5,223,40.4,11747,133,3
351.7,8420,-32.8,-47.1,223,41.6,11747,134,4
348.2,8491,-33.4,-48.1,224,43.2,11747,135,0
345.5,8546,-33.9,-48.1,222,43.3,11747,136,1
342.3,8611,-34.4,-48.8,221,41.4,11747,137,2
339.2,8674,-34.9,-49.1,222,39.5,11747,138,3
336.1,8738,-35.5,-49.6,223,39.7,11747,139,4
333.3,8797,-36,-49.8,223,41.8,11747,140,0
330.3,8859,-36.5,-50.8,222,43.5,11747,141,1
327.5,8918,-37,-51.2,222,43.9,11747,142,2
324.2,8988,-37.6,-51.8,223,43.5,11747,143,3
321.1,9055,-38.1,-51.9,225,43.9,11747,144,4
318.4,9111,-38.5,-52.8,224,44.7,11747,145,0
315.9,9167,-39.1,-52.7,223,45.5,11747,146,1
313.2,9224,-39.6,-53.5,223,46.5,11747,147,2
310.5,9284,-40.1,-54.1,225,47,11747,148,3
308.1,9336,-40.6,-54.4,226,46.7,11747,149,4
305,9405,-41.2,-55,225,45.3,11747,150,0
302.4,9464,-41.7,-54.8,223,44.1,11747,151,1
299.8,9521,-42.2,-55.6,222,43.9,11747,152,2
297.2,9582,-42.7,-55.7,221,44.5,11747,153,3
294.5,9642,-43.3,-55.7,220,44.9,11747,154,4
292.6,9686,-43.6,-55.9,221,45.1,11747,155,0
290.4,9736,-44.1,-55.3,223,46.1,11747,156,1
287.8,9796,-44.5,-54.7,225,47,11747,157,2
285.8,9844,-45,-54.5,226,47,11747,158,3
283.5,9898,-45.4,-55.4,227,47.2,11747,159,4
281.1,9953,-45.8,-54.8,227,48.2,11747,160,0
278.7,10012,-46.3,-55.3,227,49.4,11747,161,1
275.8,10081,-47,-55.6,226,49.6,11747,162,2
273.7,10131,-47.3,-55.9,226,49.4,11747,163,3
271.5,10185,-47.7,-57.4,228,49.6,11747,164,4
269,10246,-48.1,-57.8,228,49.6,11747,165,0
266.1,10317,-48.8,-58.2,226,49,11747,166,1
263.7,10375,-49.2,-58.7,224,47.8,11747,167,2
261.4,10434,-49.6,-57.6,222,46.8,11747,168,3
258.9,10497,-50.1,-58,222,46.3,11747,169,4
256.3,10562,-50.5,-56.9,223,45.5,11747,170,0
253.6,10630,-50.8,-58.2,222,44.3,11747,171,1
250.9,10700,-51.4,-59.1,220,44.5,11747,172,2
248.7,10756,-51.6,-59.8,220,45.9,11747,173,3
246.6,10812,-52,-58.8,222,47.2,11747,174,4
244,10881,-52.3,-60.7,225,47.8,11747,175,0
241.4,10949,-52.8,-61.5,227,47.6,11747,176,1
239.4,11004,-52.6,-63,228,46.5,11747,177,2
237.1,11065,-52.6,-63.8,229,44.7,11747,178,3
235.1,11122,-52.9,-64.3,230,42.6,11747,179,4
232.8,11183,-53.1,-64.4,228,39.8,11747,180,0
230.7,11241,-53.2,-64.7,225,38.3,11747,181,1
228.4,11307,-53.3,-65.1,222,38.5,11747,182,2
226,11376,-53.7,-65.3,221,39.5,11747,183,3
223.6,11443,-53.8,-66.3,222,38.9,11747,184,4
221.4,11508,-53.6,-68.3,222,36.3,11747,185,0
219.3,11570,-53.3,-69.6,222,33,11747,186,1
217,11635,-53.1,-69.6,221,29.4,11747,187,2
214.8,11703,-53.3,-70.1,217,26.2,11747,188,3
212.8,11763,-53.7,-70.2,211,25.1,11747,189,4
210.1,11843,-54.2,-70.5,205,26,11747,190,0
207.3,11928,-54.9,-70.9,199,28.4,11747,191,1
204.7,12010,-55.4,-72,195,31.9,11747,192,2
202.9,12066,-55.9,-72.1,192,35.8,11747,193,3
200.9,12129,-56.2,-72.5,190,39.8,11747,194,4
199.5,12176,-56.4,-73,191,43.3,11747,195,0
197.3,12245,-56.8,-74.1,192,48,11747,196,1
195.4,12306,-55.3,-76.6,195,51.7,11747,197,2
193.6,12366,-54.7,-77.7,200,53.1,11747,198,3
191.8,12426,-54.4,-77.7,205,52.9,11747,199,4
189.7,12494,-54.1,-78.6,208,50.9,11747,200,0
187.7,12563,-53.7,-79.3,209,47.6,11747,201,1
185.7,12632,-53.4,-79.4,210,44.7,11747,202,2
183.9,12694,-53.2,-79.6,213,43.2,11747,203,3
182.1,12758,-52.6,-79.1,218,40.8,11747,204,4
180.2,12828,-52.2,-78.5,221,36,11747,205,0
178.3,12896,-52,-78.4,221,30.7,11747,206,1
176.7,12954,-51.9,-79,220,26.4,11747,207,2
174.7,13028,-50.3,-79.4,218,23.1,11747,208,3
172.4,13112,-51,-79.7,211,21,11747,209,4
170.4,13189,-51.8,-79.6,202,20,11747,210,0
168.7,13255,-52.4,-79.5,194,20.2,11747,211,1
166.7,13330,-52.9,-79.8,188,22.4,11747,212,2
165.1,13395,-53.2,-79.7,186,25.7,11747,213,3
163.6,13452,-53.5,-79.7,185,28.2,11747,214,4
162,13514,-53.6,-79.5,186,29.9,11747,215,0
160.4,13578,-53.9,-79.7,188,31.1,11747,216,1
158.8,13642,-54.4,-79.9,191,31.7,11747,217,2
157.2,13707,-54.6,-80.2,195,31.1,11747,218,3
155.7,13769,-54.8,-80.6,199,30.1,11747,219,4
154.3,13826,-54.9,-80.8,201,29.7,11747,220,0
152.9,13884,-55.2,-81.1,202,29.5,11747,221,1
151.6,13940,-55.2,-81.5,204,29,11747,222,2
150.1,14002,-54.7,-82,202,29.4,11747,223,3
148.9,14053,-54.4,-82.5,198,30.9,11747,224,4
147.5,14116,-53.7,-82.9,196,34.2,11747,225,0
146.1,14178,-53.3,-83,197,35.8,11747,226,1
144.7,14238,-53.1,-82.9,202,35,11747,227,2
143.4,14296,-52.8,-82.9,208,33.4,11747,228,3
142.1,14355,-52.2,-82.6,213,31.1,11747,229,4
140.7,14419,-52.3,-82.5,215,26.8,11747,230,0
139,14499,-52.3,-82.6,212,21.4,11747,231,1
137.2,14583,-52.2,-82.5,206,17.1,11747,232,2
135.5,14664,-52.7,-82.4,198,14.6,11747,233,3
133.9,14739,-53.3,-82.5,189,14,11747,234,4
132.6,14800,-53.8,-82.6,179,15.4,11747,235,0
131.3,14864,-54.2,-82.9,175,17.7,11747,236,1
130,14927,-54.2,-83.1,175,20.6,11747,237,2
128.8,14991,-54.1,-83.2,177,23.5,11747,238,3
127.5,15053,-54.2,-83.4,179,25.9,11747,239,4
126.2,15119,-54.3,-83.6,182,25.9,11747,240,0
125,15181,-53.9,-83.5,188,24.3,11747,241,1
123.8,15240,-53.9,-83.5,196,23.1,11747,242,2
122.6,15304,-54.3,-83.4,200,22.5,11747,243,3
121.4,15367,-54.8,-83.7,202,20.8,11747,244,4
120.3,15427,-54.3,-83.6,202,17.3,11747,245,0
119.1,15492,-54,-83.8,195,14.6,11747,246,1
117.8,15558,-53.7,-83.7,183,14.8,11747,247,2
116.6,15624,-53.8,-83.4,177,16.5,11747,248,3
115.4,15690,-54.3,-83.5,176,17.7,11747,249,4
114.3,15751,-54.8,-83.7,180,17.7,11747,250,0
113.3,15812,-54.9,-83.8,188,17.5,11747,251,1
112.2,15873,-54.9,-84,193,17.5,11747,252,2
111.2,15930,-54.6,-84.1,193,17.7,11747,253,3
110.1,15992,-54.1,-84,191,16.7,11747,254,4
109,16056,-54,-84.2,185,15,11747,255,0
107.9,16122,-53.4,-83.8,169,14,11747,256,1
106.7,16194,-53.6,-83.9,155,15.2,11747,257,2
105.6,16259,-53.9,-83.8,151,16.3,11747,258,3
104.7,16315,-54.2,-83.8,156,16.5,11747,259,4
103.9,16366,-54.6,-84,165,16.5,11747,260,0
103.1,16417,-54.7,-84.1,172,16.9,11747,261,1
102.2,16469,-54.8,-84.1,178,17.5,11747,262,2
101.4,16523,-55.1,-84.3,183,18.7,11747,263,3
100.6,16573,-55.1,-84.3,188,20,11747,264,4
99.9,16615,-55.3,-84.3,190,21,11747,265,0
99.1,16667,-55.6,-84.4,192,22,11747,266,1
98.3,16718,-55.8,-84.7,193,22.9,11747,267,2
97.5,16770,-55.8,-84.8,195,22.2,11747,268,3
96.7,16824,-55.8,-84.9,196,19,11747,269,4
95.9,16876,-55.7,-84.7,193,16.3,11747,270,0
95.1,16927,-55.9,-84.8,187,15.2,11747,271,1
94.3,16981,-55.8,-84.8,181,15,11747,272,2
93.6,17034,-55.9,-84.9,176,15,11747,273,3
92.8,17086,-56,-84.9,171,15,11747,274,4
92,17139,-56.5,-84.9,168,15.2,11747,275,0
91.2,17193,-56.6,-84.8,168,15.7,11747,276,1
90.5,17245,-56.6,-85,172,16.3,11747,277,2
89.7,17301,-56.5,-85.1,178,16.9,11747,278,3
89,17353,-56.8,-85,184,17.1,11747,279,4
88.2,17409,-57.1,-84.9,191,17.1,11747,280,0
87.4,17464,-57.3,-84.9,199,16.5,11747,281,1
86.6,17520,-57.5,-85.4,204,15.4,11747,282,2
85.9,17576,-56.9,-85.2,205,14,11747,283,3
85.1,17631,-56.9,-85.1,202,14,11747,284,4
84.4,17685,-57.1,-85.3,204,15.4,11747,285,0
83.7,17738,-57.1,-85.4,209,16.5,11747,286,1
83,17793,-56.5,-85.3,216,16.1,11747,287,2
82.3,17845,-56.5,-85.3,222,15.6,11747,288,3
81.6,17898,-56.8,-85.2,228,15.2,11747,289,4
81,17950,-56.8,-85.2,234,14.6,11747,290,0
80.3,18005,-56.8,-85.3,240,13.2,11747,291,1
79.5,18061,-56.9,-85.3,240,10.7,11747,292,2
78.8,18124,-56.4,-84.9,225,7.2,11747,293,3
78,18188,-56.7,-85,182,5.8,11747,294,4
77.1,18257,-57,-85.1,148,8.4,11747,295,0
76.4,18318,-57.4,-85.2,139,11.7,11747,296,1
75.8,18365,-57.5,-85.3,141,14.2,11747,297,2
75.2,18413,-57.1,-85.3,146,16.3,11747,298,3
74.7,18462,-56.8,-85.1,151,18.9,11747,299,4
74.1,18510,-57,-85.3,156,20.6,11747,300,0
73.5,18560,-56.8,-85.2,164,20.4,11747,301,1
72.9,18611,-56.6,-85.2,171,18.7,11747,302,2
72.4,18661,-56.2,-85.1,176,15.6,11747,303,3
71.8,18712,-56.2,-85.1,173,11.3,11747,304,4
71.2,18766,-55.8,-84.9,155,6.6,11747,305,0
70.5,18825,-55.7,-84.8,113,4.1,11747,306,1
69.9,18876,-55.7,-84.7,83,4.5,11747,307,2
69.3,18935,-56.1,-84.7,73,5.6,11747,308,3
68.8,18986,-56.3,-84.7,79,6.2,11747,309,4
68.2,19037,-56.5,-84.7,96,6.6,11747,310,0
67.7,19088,-56.7,-84.8,111,8,11747,311,1
67.1,19143,-57.2,-85,121,10.3,11747,312,2
66.5,19199,-57.4,-85.1,128,13.2,11747,313,3
65.9,19254,-57.8,-85.5,136,15.4,11747,314,4
65.3,19310,-57.4,-85.6,145,15.9,11747,315,0
64.7,19365,-57,-85.5,155,15.2,11747,316,1
64.2,19421,-57,-85.5,165,14.4,11747,317,2
63.6,19476,-57,-85.6,174,13,11747,318,3
63.1,19531,-56.5,-85.6,182,11.5,11747,319,4
62.6,19583,-55.2,-85.1,187,10.5,11747,320,0
62,19638,-55.4,-85.3,183,9.3,11747,321,1
61.5,19692,-54.9,-84.9,164,7.2,11747,322,2
61,19746,-54.7,-84.9,131,6.6,11747,323,3
60.5,19798,-53.9,-84.4,114,8.6,11747,324,4
60,19852,-53.6,-84.2,116,11.1,11747,325,0
59.5,19905,-53.4,-83.9,124,12.6,11747,326,1
59,19959,-53.6,-83.9,133,12.8,11747,327,2
58.5,20013,-53.7,-83.9,140,11.1,11747,328,3
58,20068,-53.2,-83.7,144,8.9,11747,329,4
57.5,20123,-52.7,-83.6,142,7.6,11747,330,0
57,20176,-52.4,-83.6,132,7.6,11747,331,1
56.5,20243,-52.3,-83.4,115,9.5,11747,332,2
56,20300,-52.2,-83.1,111,12.2,11747,333,3
55.5,20354,-52.5,-83,113,13.4,11747,334,4
55,20411,-52.9,-83.1,119,12.6,11747,335,0
54.5,20465,-53.3,-83.2,125,11.3,11747,336,1
54,20531,-53.5,-83.4,122,9.7,11747,337,2
53.5,20586,-53.5,-83.5,112,9.1,11747,338,3
53,20652,-53.6,-83.6,100,9.9,11747,339,4
52.5,20709,-53.9,-83.7,100,10.5,11747,340,0
52,20775,-54,-83.7,110,10.5,11747,341,1
51.5,20832,-54.3,-83.8,119,10.9,11747,342,2
51,20898,-54.5,-84,118,11.3,11747,343,3
50.5,20955,-54.5,-84,113,11.3,11747,344,4
50,21023,-54.6,-84.1,110,11.3,11747,345,0
49.5,21089,-54.7,-84.2,116,12.4,11747,346,1
49,21149,-54.5,-84.2,124,13.8,11747,347,2
48.5,21219,-54.9,-84.3,129,14,11747,348,3
48,21288,-54.4,-84.1,132,11.3,11747,349,4
47.5,21348,-54.4,-84.1,139,9.5,11747,350,0
47,21419,-54.5,-84.2,141,9.5,11747,351,1
46.5,21491,-54.2,-84.1,129,11.1,11747,352,2
46,21551,-54.1,-84.2,119,12.8,11747,353,3
45.5,21621,-53.9,-84,116,14.8,11747,354,4
45,21694,-53.8,-83.9,120,16.5,11747,355,0
44.5,21769,-54.1,-84.1,120,18.7,11747,356,1
44,21838,-54.1,-84,119,19.6,11747,357,2
43.5,21909,-53.9,-84,120,17.9,11747,358,3
43,21991,-53.3,-83.8,112,14.4,11747,359,4
42.5,22058,-53,-83.8,102,13.6,11747,360,0
42,22137,-52.5,-83.7,104,13.4,11747,361,1
41.5,22214,-52.5,-83.4,115,13.4,11747,362,2
41,22289,-52.9,-83.4,119,13.8,11747,363,3
40.5,22374,-52.5,-83.1,108,14.6,11747,364,4
40,22452,-52.2,-83.2,99,15.2,11747,365,0
39.5,22536,-52.5,-83.5,95,14.8,11747,366,1
39,22612,-52.5,-83.4,104,13.2,11747,367,2
38.5,22701,-52.1,-83.4,114,10.9,11747,368,3
38,22786,-51.4,-83.1,85,9.5,11747,369,4
37.5,22865,-51.1,-82.8,67,12.1,11747,370,0
37,22958,-51.6,-83,75,14.4,11747,371,1
36.5,23043,-52.2,-83.2,87,16.7,11747,372,2
36,23135,-51.7,-83,93,18.1,11747,373,3
35.5,23227,-51.3,-82.9,103,19.2,11747,374,4
35,23322,-50.9,-82.9,113,18.7,11747,375,0
34.5,23413,-51.1,-82.9,123,16.5,11747,376,1
34,23503,-51.1,-82.5,124,14.2,11747,377,2
33.5,23607,-51.2,-82.9,112,12.8,11747,378,3
33,23699,-50.8,-83,112,14.2,11747,379,4
32.5,23801,-50.4,-82.7,112,14.8,11747,380,0
32,23899,-50.2,-82.5,103,15.6,11747,381,1
31.5,23999,-49.4,-82.3,105,17.7,11747,382,2
31,24112,-49.1,-82.2,117,17.1,11747,383,3
30.5,24217,-48.5,-82,123,15.2,11747,384,4
30,24328,-48.8,-81.9,113,12.8,11747,385,0
29.5,24431,-48.5,-82.1,97,12.8,11747,386,1
29,24542,-48.7,-81.9,97,15.9,11747,387,2
28.5,24660,-49.1,-82.2,100,16.3,11747,388,3
28,24771,-48.9,-82.3,106,13.4,11747,389,4
27.5,24899,-48.8,-82.3,117,12.1,11747,390,0
27,25019,-49.1,-82,117,12.6,11747,391,1
26.5,25136,-49.4,-82.2,113,12.8,11747,392,2
26,25255,-49.1,-82.4,96,13.8,11747,393,3
25.5,25384,-49.1,-82.1,87,18.9,11747,394,4
25,25512,-49.7,-82.4,92,19.4,11747,395,0
24.5,25653,-49.6,-82.2,99,14.6,11747,396,1
24,25779,-49.3,-82.5,104,15,11747,397,2
23.5,25926,-49,-82.5,92,17.3,11747,398,3
23,26064,-48,-82.5,85,22.5,11747,399,4
22.5,26204,-47,-81.9,94,22.4,11747,400,0
22,26358,-46.7,-81.9,93,22.4,11747,401,1
21.5,26505,-46.3,-81.6,86,22.4,11747,402,2
21,26662,-46.3,-81.4,89,20.6,11747,403,3
20.5,26821,-46.8,-81.5,89,19.8,11747,404,4
20,26997,-46.7,-82.1,102,26,11747,405,0
19.5,27149,-47.6,-82.1,109,36,11747,406,1
19,27329,-47.5,-82.3,117,32.5,11747,407,2
18.5,27498,-47.1,-82.5,131,26.4,11747,408,3
18,27684,-46,-82.2,118,24.7,11747,409,4
17.5,27874,-45,-81.8,120,24.9,11747,410,0
17,28062,-43.4,-81.1,119,20,11747,411,1
16.5,28268,-43.2,-80.8,111,16.3,11747,412,2
16,28474,-44.1,-80.9,138,11.3,11747,413,3
15.5,28683,-43.8,-81.3,121,13,11747,414,4
15,28911,-42.5,-80.9,122,17.3,11747,415,0
14.5,29133,-41.6,-80.5,121,14.2,11747,416,1
14,29364,-39.9,-79.6,98,21,11747,417,2
13.5,29610,-40.9,-79.6,110,24.9,11747,418,3
13,29868,-41.5,-80.3,131,22.2,11747,419,4
12.5,30131,-40.8,-80.1,148,13.8,11747,420,0
12,30420,-40.1,-79.6,100,9.9,11747,421,1
11.5,30707,-39.4,-79.4,102,16.9,11747,422,2
11,31011,-38.2,-79.1,84,3.5,11747,423,3
10.5,31330,-38.2,-79,61,7.4,11747,424,4
10,31686,-37.3,-78.8,65,14.2,11747,425,0
9.5,32014,-36.7,-78.5,68,16.3,11747,426,1
9,32383,-35.8,-78.1,56,21.2,11747,427,2
8.5,32775,-35.4,-78.1,82,23.1,11747,428,3
8,33201,-33.9,-77.3,76,23.3,11747,429,4
